Rule Name,Rule
Term and Survival - Missing Duration Addition,"IDENTIFY
Identify agreements that lack any specified survival period for confidentiality obligations.

ANALYSE
Analyse whether the agreement specifies how long confidentiality obligations continue after termination or expiration.

ACTION
Based on your analysis, apply the following rules: (a) If a survival period is specified, make no changes. (b) If no survival period is specified, add the following at the end of the Term section: ""The confidentiality obligations shall survive for a period of three (3) years following the termination or expiration of this Agreement."""
Compelled Disclosure - Prohibition Amendment,"IDENTIFY
Identify provisions addressing legally required or compelled disclosure. Look for language such as ""required by law,"" ""legal process,"" ""subpoena,"" ""court order,"" or ""governmental request.""

ANALYSE
Analyse whether the Receiving Party is prohibited from disclosure even when legally compelled, or requires prior consent before legally compelled disclosure. Look for language such as ""under no circumstances shall disclose,"" ""shall not disclose under any circumstances including legal process,"" ""prior written consent required before any legally compelled disclosure,"" or ""consent may be withheld in sole discretion.""

ACTION
Based on your analysis, apply the following rules: (a) If a reasonable compelled disclosure permission already exists, make no changes. (b) If the Receiving Party is prohibited from disclosure when legally compelled, or prior consent is required, amend by replacing the prohibitive language with: ""Notwithstanding the foregoing, the Receiving Party may disclose Confidential Information to the extent required by applicable law, regulation, or legal process, provided that the Receiving Party (to the extent legally permitted) gives the Disclosing Party prompt written notice of such requirement prior to disclosure to enable the Disclosing Party to seek a protective order."" Amend only the compelled disclosure treatment; do not delete notice requirements that should be retained."
Non-Solicitation - Excessive Duration Amendment,"IDENTIFY
Identify any non-solicitation provisions restricting solicitation, recruitment, or hiring of employees. Look for language such as ""non-solicitation,"" ""shall not solicit,"" ""shall not recruit,"" or ""shall not hire.""

ANALYSE
Analyse the duration of the non-solicitation restriction to determine whether it exceeds twelve months.

ACTION
Based on your analysis, apply the following rules: (a) If non-solicitation period is twelve months or less, make no changes. (b) If non-solicitation period exceeds twelve months (such as eighteen months, twenty-four months, or thirty-six months), amend to replace the duration with ""twelve (12) months."" Amend only the duration; do not delete the non-solicitation provision."
Non-Compete - Deletion,"IDENTIFY
Identify any non-compete or non-competition provisions. Look for language such as ""non-compete,"" ""non-competition,"" ""shall not compete,"" ""competitive activities,"" ""competing business,"" or ""services to competitors.""

ANALYSE
Analyse whether a non-compete provision exists restricting the Receiving Party from competing or providing services to competitors.

ACTION
Based on your analysis, apply the following rules: (a) If no non-compete provision exists, make no changes. (b) If any non-compete provision exists, delete the entire non-compete provision. Delete the non-compete provision entirely; do not delete non-solicitation provisions."
Return and Destruction - Compliance Exception Addition,"IDENTIFY
Identify provisions requiring return or destruction of Confidential Information. Look for language such as ""return or destroy,"" ""return and destruction,"" ""destroy all copies,"" or ""without exception.""

ANALYSE
Analyse whether the Receiving Party is required to destroy all copies without exception and without permission to retain archival copies for legal compliance.

ACTION
Based on your analysis, apply the following rules: (a) If reasonable retention exceptions exist for legal compliance, make no changes. (b) If destruction without exception is required, add the following immediately after the destruction requirement: ""; provided, however, that the Receiving Party may retain (i) one archival copy for legal compliance purposes, and (ii) copies residing on routine backup systems, in each case subject to the continuing confidentiality obligations of this Agreement."" Insert in place within the existing destruction clause."
Injunctive Relief - Bond Waiver Deletion,"IDENTIFY
Identify provisions addressing injunctive relief or equitable remedies. Look for language such as ""injunctive relief,"" ""equitable relief,"" ""specific performance,"" or ""irreparable harm.""

ANALYSE
Analyse whether the provision waives the requirement to post bond with language such as ""without posting bond,"" ""without the necessity of posting any bond,"" or ""waives any requirement for bond.""

ACTION
Based on your analysis, apply the following rules: (a) If no bond waiver language is present, make no changes. (b) If bond waiver language is present, delete only the bond waiver phrase. Delete only the bond waiver; do not delete the injunctive relief provision or waiver of proving actual damages."
Indemnification - Broad-form Trigger Deletion,"IDENTIFY
Identify indemnification provisions related to breach of the agreement. Look for language such as ""indemnify,"" ""hold harmless,"" or ""indemnification.""

ANALYSE
Analyse whether broad-form triggers are present requiring indemnification regardless of the Disclosing Party's fault. Look for language such as ""regardless of fault,"" ""regardless of the fault or negligence,"" ""whether or not caused by the negligence of,"" or ""including the negligence of.""

ACTION
Based on your analysis, apply the following rules: (a) If no broad-form trigger is present, make no changes. (b) If ""regardless of fault"" is present, delete that phrase. (c) If ""regardless of the fault or negligence"" is present, delete that phrase. (d) If ""whether or not caused by the negligence of"" is present, delete that phrase. (e) If ""including the negligence of"" is present, delete that phrase. Delete only the broad-form trigger; do not delete the entire indemnification clause."
Assignment - Asymmetric Rights Amendment,"IDENTIFY
Identify provisions addressing assignment of rights or obligations. Look for language such as ""assignment,"" ""assign,"" or ""transfer.""

ANALYSE
Analyse whether the Disclosing Party may assign without consent while the Receiving Party requires consent. Look for language such as ""may freely assign,"" ""may assign without consent,"" or ""may assign at its sole discretion"" applying only to the Disclosing Party.

ACTION
Based on your analysis, apply the following rules: (a) If assignment rights are mutual, make no changes. (b) If the Disclosing Party may assign without consent but the Receiving Party requires consent, amend to replace the asymmetric provision with: ""Neither party may assign this Agreement without the prior written consent of the other party, which consent shall not be unreasonably withheld."" Amend to make assignment rights mutual."
Governing Law - Offshore Jurisdiction Flag,"IDENTIFY
Identify governing law and jurisdiction clauses. Look for sections titled ""Governing Law,"" ""Jurisdiction,"" ""Venue,"" or ""Forum.""

ANALYSE
Analyse whether the jurisdiction is offshore, including Cayman Islands, British Virgin Islands, Bermuda, Channel Islands, or Isle of Man.

ACTION
Based on your analysis, apply the following rules: (a) If jurisdiction is not offshore, make no changes. (b) If jurisdiction is Cayman Islands, British Virgin Islands, Bermuda, Channel Islands, or Isle of Man, flag for review with note: ""Offshore jurisdiction identified. Recommend amending to jurisdiction with nexus to the parties."" Do not automatically amend; flag for commercial discussion."
Governing Law - Distant Jurisdiction Flag,"IDENTIFY
Identify governing law and jurisdiction clauses.

ANALYSE
Analyse whether the jurisdiction is distant or inconvenient with no apparent nexus to the parties, such as Dubai, UAE, Singapore, or Hong Kong when the parties have no presence there.

ACTION
Based on your analysis, apply the following rules: (a) If jurisdiction has nexus to the parties, make no changes. (b) If jurisdiction is Dubai, UAE, Singapore, or Hong Kong and appears to have no nexus to the parties, flag for review with note: ""Distant jurisdiction with no apparent nexus to the parties. Recommend amending."" Do not automatically amend; flag for commercial discussion."
Limitation of Liability - Unlimited Exposure Flag,"IDENTIFY
Identify any limitation of liability provisions or statements that liability is unlimited. Look for language such as ""limitation of liability,"" ""unlimited liability,"" ""uncapped,"" or ""without limitation.""

ANALYSE
Analyse whether liability is stated as unlimited, uncapped, or without limitation.

ACTION
Based on your analysis, apply the following rules: (a) If a reasonable liability cap exists, make no changes. (b) If liability is stated as ""unlimited,"" ""uncapped,"" ""without limitation,"" or ""without any monetary limitation,"" flag for review with note: ""Unlimited liability exposure identified. Recommend adding mutual liability cap."" Do not automatically amend; flag for commercial discussion."
Limitation of Liability - Missing Provision Flag,"IDENTIFY
Identify whether the agreement contains any limitation of liability provision.

ANALYSE
Analyse whether the agreement lacks any limitation of liability provision.

ACTION
Based on your analysis, apply the following rules: (a) If a limitation of liability provision exists, make no changes. (b) If no limitation of liability provision exists, flag for review with note: ""No limitation of liability provision found. Consider adding mutual liability cap."" Do not automatically add; flag for commercial discussion."
